"","response_uuid","Age","Word_Pair","diff"
"81","c5ad0dd5-2f09-4be0-bd65-35351e595938","6","cat ~ book",-0.148
"82","c5ad0dd5-2f09-4be0-bd65-35351e595938","6","foot ~ milk",0.358
"83","c5ad0dd5-2f09-4be0-bd65-35351e595938","6","hand ~ yogurt",-0.154
"84","ceac9e49-7f0e-41c6-9e89-81d8fa286499","6","ball ~ stroller",-0.252
"85","ceac9e49-7f0e-41c6-9e89-81d8fa286499","6","diaper ~ block",-0.069
"86","ceac9e49-7f0e-41c6-9e89-81d8fa286499","6","foot ~ milk",-0.036
"87","ceac9e49-7f0e-41c6-9e89-81d8fa286499","6","hand ~ yogurt",-0.003
"88","d5c00f11-5f46-4919-835f-ff52db609317","12","ball ~ stroller",-0.386
"89","d5c00f11-5f46-4919-835f-ff52db609317","12","diaper ~ block",-0.268
"90","d5c00f11-5f46-4919-835f-ff52db609317","12","cat ~ book",-0.231
"91","db21e9a1-478a-4b07-a79d-9c586c711f40","6","ball ~ stroller",-0.252
"92","db21e9a1-478a-4b07-a79d-9c586c711f40","6","diaper ~ block",0.5
"93","db21e9a1-478a-4b07-a79d-9c586c711f40","6","cat ~ book",-0.759
"94","db21e9a1-478a-4b07-a79d-9c586c711f40","6","hand ~ yogurt",0.27
"95","e1de4a92-a702-4f77-92cb-437799e28dae","6","diaper ~ block",0.163
"96","e1de4a92-a702-4f77-92cb-437799e28dae","6","cat ~ book",-0.055
"97","e1de4a92-a702-4f77-92cb-437799e28dae","6","foot ~ milk",-0.397
"98","e1de4a92-a702-4f77-92cb-437799e28dae","6","hand ~ yogurt",-0.317
"99","e840a295-de8b-4a29-9bbb-b6a0740d8112","6","ball ~ stroller",-0.663
"100","e840a295-de8b-4a29-9bbb-b6a0740d8112","6","diaper ~ block",0.74
"101","f22b3366-1a35-4b22-8bdf-d29879221af7","6","cat ~ book",0.038
"102","f22b3366-1a35-4b22-8bdf-d29879221af7","6","hand ~ yogurt",0.101
"103","f53c1242-7c7e-441e-b24e-f1745def2023","12","ball ~ stroller",-0.447
"104","f53c1242-7c7e-441e-b24e-f1745def2023","12","diaper ~ block",0.262
"105","f53c1242-7c7e-441e-b24e-f1745def2023","12","foot ~ milk",-0.183
"106","f53c1242-7c7e-441e-b24e-f1745def2023","12","hand ~ yogurt",0.662
"107","fb1824e0-7cc6-4939-a9d4-a808e433352a","6","ball ~ stroller",0.057
"108","fb1824e0-7cc6-4939-a9d4-a808e433352a","6","diaper ~ block",0.105
"109","fb1824e0-7cc6-4939-a9d4-a808e433352a","6","cat ~ book",-0.186
